Postcode,Dwelling Type,Median_Sales_Price,Qtly_Median_Change,Annual_Median_Change,Qtly_Count_Change,Annual_Count_Change,Year,Quarter
2110,Strata,1450,0.3333,0.5590999999999999,0.0,1.2222,2023,Q4
2104,Total,3440,0.0346,0.5583,0.375,0.375,2023,Q4
2104,Non Strata,3440,0.0346,0.5583,0.375,0.375,2023,Q4
2267,Total,1021,0.2173,0.5565,0.0556,0.0556,2022,Q1
2334,Non Strata,638,0.1242,0.5561,-0.3,0.2727,2022,Q1
2627,Strata,1032,0.0753,0.5552,0.11109999999999999,-0.23079999999999998,2022,Q2
2028,Total,3265,0.4841,0.5548,-0.55,-0.1429,2023,Q4
2316,Total,1140,0.1515,0.551,-0.4839,-0.4667,2022,Q2
2825,Total,240,-0.1193,0.5484,0.5,0.5,2023,Q2
2825,Non Strata,240,-0.1193,0.5484,0.5,0.5,2023,Q2
2030,Strata,1888,0.6413,0.5471,-0.2,-0.35479999999999995,2023,Q4
2650,Strata,339,0.0173,0.5398,0.027000000000000003,-0.25489999999999996,2022,Q2
2037,Total,1650,-0.1316,0.5385,-0.359,-0.08539999999999999,2022,Q1
2652,Total,575,0.7164,0.5333,0.3077,-0.0556,2023,Q4
2652,Non Strata,575,0.7164,0.5333,0.3077,-0.0556,2023,Q4
2652,Total,345,-0.17859999999999998,0.5333,-0.31579999999999997,-0.1333,2022,Q3
2652,Non Strata,345,-0.17859999999999998,0.5333,-0.31579999999999997,-0.1333,2022,Q3
2102,Strata,1600,0.0,0.5311,-0.52,-0.3333,2022,Q1
2870,Total,421,0.0383,0.5291,-0.2727,-0.0725,2022,Q1
2135,Total,1200,0.47240000000000004,0.5287,0.0282,-0.12050000000000001,2023,Q2
2722,Total,385,-0.0501,0.5278,-0.2143,-0.3889,2022,Q2
2722,Non Strata,385,-0.0501,0.5278,-0.2143,-0.3889,2022,Q2
2447,Total,745,-0.0558,0.5272,-0.3261,-0.1389,2022,Q1
2579,Total,1250,0.19329999999999997,0.5221,-0.0556,-0.5,2022,Q4
2579,Non Strata,1250,0.19329999999999997,0.5221,-0.0556,-0.5,2022,Q4
2516,Non Strata,1750,0.1765,0.5209,-0.22219999999999998,-0.0667,2023,Q4
2316,Non Strata,1140,0.1515,0.52,-0.40740000000000004,-0.36,2022,Q2
2063,Total,4100,-0.0682,0.5185,-0.6286,-0.6061,2022,Q1
2024,Total,3562,0.8995000000000001,0.5155,-0.0833,-0.44299999999999995,2022,Q3
2207,Total,1380,0.0143,0.5147999999999999,-0.2891,-0.0521,2022,Q1
2283,Strata,749,0.1523,0.5131,0.7,-0.1905,2022,Q2
2222,Non Strata,1850,0.022099999999999998,0.5102,-0.52,-0.2,2022,Q1
2877,Total,272,0.3575,0.5083,0.875,-0.4,2023,Q3
2877,Non Strata,272,0.3575,0.5083,0.875,-0.4,2023,Q3
2102,Strata,1575,0.1413,0.5072,-0.2353,-0.1875,2024,Q1
2488,Total,1205,0.0955,0.5063,-0.36840000000000006,-0.2,2022,Q2
2330,Strata,542,0.5214,0.5056,0.0,0.0588,2023,Q2
2293,Total,903,0.061799999999999994,0.5042,-0.1818,-0.7049,2022,Q1
2627,Non Strata,1655,-0.15130000000000002,0.5011,-0.1429,-0.1818,2022,Q2
2583,Total,660,0.32,0.5,0.0,-0.21739999999999998,2022,Q2
2583,Non Strata,660,0.32,0.5,0.0,-0.21739999999999998,2022,Q2
2880,Total,180,0.0909,0.5,-0.1481,0.06480000000000001,2022,Q1
2174,Non Strata,1215,0.0125,0.5,0.0,-0.4746,2022,Q1
2533,Total,1465,0.0335,0.4987,-0.4205,-0.3289,2022,Q1
2762,Total,905,0.223,0.4959,-0.2097,-0.6937000000000001,2022,Q4
2136,Total,1068,0.18789999999999998,0.49570000000000003,-0.3333,-0.2353,2022,Q1
2429,Total,778,0.43320000000000003,0.49520000000000003,-0.2857,-0.5522,2022,Q3
2429,Non Strata,778,0.43320000000000003,0.49520000000000003,-0.2857,-0.5522,2022,Q3
2316,Non Strata,990,-0.027000000000000003,0.4943,-0.2187,0.3889,2022,Q1
2260,Strata,1306,0.0588,0.49369999999999997,-0.15,-0.2273,2022,Q1
2302,Total,911,0.40590000000000004,0.49340000000000006,0.625,0.44439999999999996,2024,Q1
2302,Strata,911,0.40590000000000004,0.49340000000000006,0.625,0.44439999999999996,2024,Q1
2330,Non Strata,750,0.1905,0.4925,-0.1604,-0.3258,2022,Q3
2539,Total,1100,0.2022,0.4865,0.1311,-0.303,2022,Q1
2068,Strata,1300,0.0717,0.4857,-0.1957,0.6087,2024,Q1
2489,Total,1425,0.1133,0.4844,-0.3208,0.0909,2022,Q1
2029,Strata,2123,0.2559,0.48369999999999996,0.0,-0.2432,2022,Q3
2711,Total,255,0.2944,0.4826,0.0,0.0588,2022,Q1
2711,Non Strata,255,0.2944,0.4826,0.0,0.0588,2022,Q1
2067,Strata,1530,-0.6626000000000001,0.4826,-0.2705,0.7115,2022,Q3
2137,Total,2098,0.1525,0.48229999999999995,0.0248,-0.031200000000000002,2022,Q3
2330,Total,718,0.2169,0.4804,-0.19510000000000002,-0.34,2022,Q3
2036,Total,1630,0.5841,0.47909999999999997,-0.0233,-0.451,2022,Q4
2048,Total,1610,-0.08,0.4771,0.0,-0.1481,2023,Q2
2480,Strata,531,0.1208,0.4757,-0.15789999999999998,-0.2727,2022,Q1
2143,Strata,546,0.0202,0.4753,0.4,1.8,2023,Q3
2464,Total,1105,0.2875,0.4733,-0.047599999999999996,-0.1489,2022,Q1
2048,Non Strata,2450,0.0504,0.4728,-0.625,-0.4,2022,Q1
2762,Total,1101,0.2506,0.4722,0.6774,-0.1568,2023,Q2
2258,Non Strata,1310,0.5831000000000001,0.4719,0.5,0.0588,2023,Q4
2488,Strata,870,0.029500000000000002,0.46840000000000004,0.3,0.3,2022,Q1
2795,Strata,380,-0.0634,0.4681,-0.2903,-0.2143,2022,Q1
2439,Total,880,0.3233,0.4679,0.0556,-0.20829999999999999,2022,Q2
2439,Non Strata,880,0.3233,0.4679,0.0556,-0.20829999999999999,2022,Q2
2049,Total,1415,0.3102,0.4678,0.2821,-0.4681,2022,Q2
2293,Total,1030,0.1413,0.4675,0.7222,-0.1389,2022,Q2
2117,Strata,990,0.1751,0.4667,-0.3125,0.32,2023,Q4
2400,Non Strata,330,0.15789999999999998,0.4667,0.2778,-0.2698,2023,Q3
2061,Total,2199,0.09970000000000001,0.46630000000000005,0.0323,-0.0857,2023,Q2
2333,Strata,389,0.2738,0.466,-0.0588,-0.4839,2022,Q2
2446,Total,827,0.1807,0.4654,-0.0526,-0.035699999999999996,2022,Q2
2502,Total,820,0.0347,0.4643,-0.1957,-0.1957,2022,Q1
2043,Non Strata,1938,0.1602,0.4623,-0.22219999999999998,0.16670000000000001,2023,Q3
2420,Total,620,0.18100000000000002,0.46140000000000003,-0.5806,-0.07139999999999999,2022,Q1
2420,Non Strata,620,0.18100000000000002,0.46140000000000003,-0.5806,-0.07139999999999999,2022,Q1
2824,Total,248,0.19519999999999998,0.45880000000000004,0.5714,0.5714,2023,Q4
2824,Non Strata,248,0.19519999999999998,0.45880000000000004,0.5714,0.5714,2023,Q4
2469,Total,410,0.0513,0.4578,-0.4167,-0.3,2022,Q1
2469,Non Strata,410,0.0513,0.4578,-0.4167,-0.3,2022,Q1
2300,Non Strata,1920,0.0105,0.4568,-0.1905,0.1333,2022,Q3
2463,Total,801,0.0236,0.45640000000000003,-0.3333,-0.3171,2022,Q3
2583,Total,560,-0.1515,0.4545,-0.16670000000000001,-0.25,2022,Q3
2583,Non Strata,560,-0.1515,0.4545,-0.16670000000000001,-0.25,2022,Q3
2827,Total,252,0.36219999999999997,0.4524,-0.25,-0.25,2022,Q4
2827,Non Strata,252,0.36219999999999997,0.4524,-0.25,-0.25,2022,Q4
2535,Total,1902,0.1475,0.45189999999999997,-0.4792,-0.48979999999999996,2022,Q1
2480,Non Strata,775,0.0839,0.4486,-0.4807,-0.40979999999999994,2022,Q1
2138,Non Strata,2700,0.11109999999999999,0.44770000000000004,0.5714,4.5,2024,Q1
2167,Strata,745,0.2104,0.44659999999999994,1.0,0.4286,2023,Q3
2323,Strata,580,0.0265,0.4464,-0.32,0.5455,2023,Q4
2486,Strata,650,0.0313,0.44439999999999996,-0.3099,-0.3378,2022,Q1
2479,Total,2400,0.08470000000000001,0.4436,-0.5,-0.375,2022,Q1
2325,Total,603,0.0212,0.44310000000000005,-0.2788,-0.1018,2022,Q1
2020,Non Strata,2500,0.4286,0.44299999999999995,-0.3636,-0.5172,2022,Q2
2324,Strata,624,0.41700000000000004,0.4416,-0.23809999999999998,0.3333,2023,Q2
2319,Non Strata,723,0.08,0.4407,-0.26530000000000004,-0.3333,2022,Q1
2787,Total,558,0.1273,0.44,-0.3421,0.25,2022,Q1
2787,Non Strata,558,0.1273,0.44,-0.3421,0.25,2022,Q1
2223,Total,1440,-0.1325,0.44,-0.2169,0.1818,2024,Q1
2711,Total,180,-0.15289999999999998,0.44,-0.1875,0.3,2022,Q3
2219,Non Strata,2950,0.1456,0.439,0.10529999999999999,-0.22219999999999998,2023,Q4
2765,Total,1180,0.0129,0.439,-0.3555,-0.5928,2022,Q1
2163,Total,827,0.44329999999999997,0.43829999999999997,0.1563,-0.22920000000000001,2022,Q2
2163,Total,791,0.1985,0.4382,0.125,-0.29410000000000003,2022,Q4
2546,Strata,647,0.12480000000000001,0.4372,0.07690000000000001,-0.22219999999999998,2022,Q1
2370,Total,370,0.1045,0.43689999999999996,0.0833,-0.2778,2022,Q3
2370,Non Strata,370,0.1045,0.43689999999999996,0.0833,-0.2778,2022,Q3
2281,Non Strata,1150,-0.0574,0.4366,-0.23190000000000002,-0.19699999999999998,2022,Q1
2088,Total,2700,0.6564,0.4362,-0.25,0.125,2024,Q1
2089,Non Strata,3318,-0.0178,0.4361,-0.3333,1.0,2023,Q3
2720,Total,570,0.19,0.43579999999999997,-0.3077,-0.4857,2023,Q4
2041,Non Strata,3280,0.2615,0.4354,0.09300000000000001,-0.0208,2022,Q1
2102,Total,2055,0.20879999999999999,0.4346,-0.439,-0.3235,2022,Q1
2325,Strata,440,0.1,0.43320000000000003,0.07139999999999999,-0.1176,2022,Q1
2630,Non Strata,605,0.052199999999999996,0.43200000000000005,0.2143,0.10869999999999999,2022,Q2
2325,Non Strata,620,0.042,0.43189999999999995,-0.3041,-0.1,2022,Q1
2446,Non Strata,827,0.1479,0.43119999999999997,0.0189,0.0385,2022,Q2
2720,Non Strata,570,0.15380000000000002,0.4304,-0.28,-0.4375,2023,Q4
2430,Total,665,0.14400000000000002,0.4301,0.0674,-0.19149999999999998,2022,Q2
2116,Total,1320,-0.0222,0.4301,-0.36840000000000006,-0.5714,2023,Q1
2335,Total,714,0.023700000000000002,0.4294,-0.3077,0.0588,2022,Q1
2502,Non Strata,823,0.0346,0.428,-0.1628,0.0,2022,Q1
2765,Non Strata,1197,0.0141,0.4267,-0.37810000000000005,-0.6069,2022,Q1
2104,Total,3660,0.0765,0.4252,-0.2,-0.29410000000000003,2022,Q1
2104,Non Strata,3660,0.0765,0.4252,-0.2,-0.29410000000000003,2022,Q1
2230,Total,1788,0.4147,0.4243,-0.3714,-0.5336,2022,Q2
2352,Non Strata,455,0.0898,0.4241,0.35710000000000003,-0.05,2022,Q1
2820,Total,315,0.0919,0.42369999999999997,-0.0278,-0.4355,2022,Q3
2820,Non Strata,315,0.0919,0.42369999999999997,-0.0278,-0.4355,2022,Q3
2630,Total,605,0.052199999999999996,0.4235,0.2143,0.0,2022,Q2
2049,Total,1405,-0.0070999999999999995,0.4228,-0.02,-0.48960000000000004,2022,Q3
2758,Total,1380,-0.23329999999999998,0.4227,0.5714,0.0313,2022,Q2
2758,Non Strata,1380,-0.23329999999999998,0.4227,0.5714,0.0313,2022,Q2
2428,Non Strata,875,0.1112,0.42200000000000004,-0.40880000000000005,-0.4778,2022,Q1
2071,Strata,1180,0.1292,0.4217,0.15,0.15,2023,Q4
2487,Total,1350,0.0385,0.4211,0.013000000000000001,-0.2973,2022,Q2
2260,Strata,1350,0.0341,0.4211,0.0278,-0.13949999999999999,2022,Q2
2302,Total,753,0.2236,0.41979999999999995,-0.5294,-0.5556,2022,Q2
2302,Strata,753,0.2236,0.41979999999999995,-0.5294,-0.5556,2022,Q2
2557,Total,1150,-0.0022,0.41979999999999995,-0.2439,-0.1389,2022,Q1
2221,Strata,990,0.1957,0.4194,0.6923,0.22219999999999998,2023,Q2
2537,Non Strata,1035,0.09230000000000001,0.4178,-0.1346,-0.4643,2022,Q3
2062,Strata,1630,0.28600000000000003,0.4174,0.0667,0.1852,2024,Q1
2061,Total,2500,0.0417,0.4164,0.48479999999999995,0.3611,2023,Q3
2463,Non Strata,802,0.024900000000000002,0.4152,-0.35710000000000003,-0.2895,2022,Q3
2027,Total,3725,0.24170000000000003,0.4147,-0.20370000000000002,-0.5657,2022,Q2
2731,Total,597,-0.22719999999999999,0.4147,-0.28850000000000003,-0.0513,2022,Q2
2551,Total,710,0.0,0.4129,0.2353,-0.25,2022,Q2
2852,Total,660,0.3538,0.4118,-0.2273,-0.2917,2022,Q2
2852,Non Strata,660,0.3538,0.4118,-0.2273,-0.2917,2022,Q2
2136,Total,1080,-0.0226,0.4118,0.035699999999999996,0.2609,2022,Q3
2431,Total,833,0.1288,0.41100000000000003,0.0,-0.3953,2022,Q4
2365,Total,353,0.11900000000000001,0.41,-0.4,-0.28,2022,Q2
2365,Non Strata,353,0.11900000000000001,0.41,-0.4,-0.28,2022,Q2
2067,Total,2009,-0.3931,0.40979999999999994,-0.23809999999999998,0.38270000000000004,2022,Q3
2022,Non Strata,3240,0.0125,0.40869999999999995,-0.32,-0.3704,2023,Q4
2620,Non Strata,1000,0.0444,0.40850000000000003,-0.25,-0.08259999999999999,2022,Q1
2329,Total,413,-0.012,0.4078,1.0,-0.07690000000000001,2023,Q4
2329,Non Strata,413,-0.012,0.4078,1.0,-0.07690000000000001,2023,Q4
2821,Total,380,0.20629999999999998,0.40740000000000004,0.22219999999999998,-0.2414,2022,Q2
2821,Non Strata,380,0.20629999999999998,0.40740000000000004,0.22219999999999998,-0.2414,2022,Q2
2159,Non Strata,2889,0.284,0.40549999999999997,0.0909,-0.3333,2022,Q2
2122,Total,1330,-0.4022,0.4052,-0.125,-0.125,2022,Q1
2041,Strata,1833,0.18420000000000003,0.4042,0.6667000000000001,1.0,2024,Q1
2787,Total,583,0.2073,0.4036,-0.2903,-0.3125,2022,Q2
2787,Non Strata,583,0.2073,0.4036,-0.2903,-0.3125,2022,Q2
2720,Non Strata,469,0.0654,0.4035,-0.4667,-0.2727,2022,Q2
2315,Strata,788,0.09380000000000001,0.4031,0.1613,-0.3077,2023,Q2
2038,Strata,1400,0.7445,0.4028,0.5,0.6667000000000001,2023,Q2
2804,Total,428,0.0823,0.40159999999999996,0.0,-0.2778,2022,Q3
2804,Non Strata,428,0.0823,0.40159999999999996,0.0,-0.2778,2022,Q3
2335,Total,853,0.1711,0.401,0.0,-0.3103,2022,Q2
2671,Total,420,0.2353,0.4,0.0625,0.1333,2023,Q4
2671,Non Strata,420,0.2353,0.4,0.0625,0.1333,2023,Q4
2073,Strata,1470,0.2327,0.4,-0.3125,-0.6667000000000001,2022,Q3
2081,Total,1685,0.16010000000000002,0.3995,-0.1,-0.0526,2022,Q1
2093,Total,2875,0.1241,0.3983,-0.4754,-0.5362,2022,Q1
2079,Total,1450,-0.12390000000000001,0.39759999999999995,0.1429,-0.4545,2022,Q2
2447,Total,800,0.1429,0.39740000000000003,1.0,1.0,2023,Q3
2447,Non Strata,800,0.1429,0.39740000000000003,1.0,1.0,2023,Q3
2621,Total,1208,0.0733,0.396,0.39130000000000004,-0.0588,2022,Q2
2621,Non Strata,1208,0.0733,0.396,0.39130000000000004,-0.0588,2022,Q2
2370,Total,335,0.0075,0.3958,-0.4,-0.29410000000000003,2022,Q2
2370,Non Strata,335,0.0075,0.3958,-0.4,-0.29410000000000003,2022,Q2
2380,Total,450,0.15380000000000002,0.3953,-0.25489999999999996,0.46149999999999997,2022,Q1
2094,Total,2300,0.21050000000000002,0.39390000000000003,0.0741,0.2609,2023,Q3
2324,Total,683,0.06509999999999999,0.39390000000000003,-0.16879999999999998,-0.11720000000000001,2022,Q1
2421,Total,947,-0.2332,0.3926,1.1667,2.25,2024,Q1
2421,Non Strata,947,-0.2332,0.3926,1.1667,2.25,2024,Q1
2582,Total,1100,0.255,0.3924,-0.4667,-0.4783,2023,Q1
2582,Non Strata,1100,0.255,0.3924,-0.4889,-0.5,2023,Q1
2795,Total,640,0.039,0.39130000000000004,-0.2094,-0.19190000000000002,2022,Q1
2073,Non Strata,3645,0.1515,0.3911,-0.4,-0.29410000000000003,2022,Q1
2261,Strata,706,0.1162,0.3911,-0.1444,-0.3125,2022,Q1
2713,Total,325,0.15039999999999998,0.3889,-0.5,-0.45,2022,Q3
2713,Non Strata,325,0.15039999999999998,0.3889,-0.5,-0.45,2022,Q3
2663,Non Strata,389,0.0799,0.3884,-0.46149999999999997,-0.5,2022,Q3
2081,Non Strata,1685,0.16010000000000002,0.3874,-0.1,0.0,2022,Q1
2035,Strata,1200,0.19699999999999998,0.3873,-0.2143,0.0694,2022,Q1
2420,Total,860,0.3333,0.3871,-0.3636,0.0,2023,Q1
2420,Non Strata,860,0.3333,0.3871,-0.3636,0.0,2023,Q1
2319,Total,694,0.0366,0.387,-0.2353,-0.31579999999999997,2022,Q1
2133,Non Strata,2332,0.2114,0.3864,-0.3333,3.6667,2024,Q1
2317,Non Strata,1240,0.44189999999999996,0.3862,-0.1304,-0.23079999999999998,2023,Q3
2335,Non Strata,853,0.1711,0.3862,0.0,-0.2727,2022,Q2
2193,Total,1266,0.6548999999999999,0.3851,0.7173999999999999,-0.0814,2022,Q2
2193,Non Strata,2195,0.16760000000000003,0.3849,-0.12,-0.0435,2023,Q4
2642,Total,526,0.5924,0.3847,-0.0526,0.0,2022,Q3
2642,Non Strata,526,0.5924,0.3847,-0.0526,0.0,2022,Q3
2135,Total,1186,-0.0318,0.3839,0.4156,0.172,2023,Q3
2097,Non Strata,2973,0.13449999999999998,0.38280000000000003,0.0333,0.24,2023,Q3
2663,Total,443,0.030299999999999997,0.38280000000000003,-0.22219999999999998,-0.0667,2024,Q1
2663,Non Strata,443,0.030299999999999997,0.38280000000000003,-0.22219999999999998,-0.0667,2024,Q1
2039,Strata,1488,-0.15,0.3818,0.6364,0.0,2023,Q1
2539,Strata,838,0.083,0.3814,-0.3333,-0.3333,2022,Q1
2030,Strata,1650,0.0611,0.38079999999999997,-0.2683,0.25,2022,Q1
2195,Non Strata,1325,0.1883,0.38020000000000004,0.1739,0.5,2023,Q4
2227,Total,1712,0.35340000000000005,0.3801,-0.0308,0.05,2023,Q4
